run,attack_mode,denom_images,succ_images,asr_image,gens_used_median_all,gens_used_median_succ,queries_median_all,queries_median_succ,expl_rows,expl_adv_rows,iou10_gc_mean_adv,iou10_gc_median_adv,iou10_ig_mean_adv,iou10_ig_median_adv,iou10_rise_mean_adv,iou10_rise_median_adv,rho_gc_mean_adv,rho_gc_median_adv,rho_ig_mean_adv,rho_ig_median_adv,rho_rise_mean_adv,rho_rise_median_adv,del_auc_gc_clean_mean,del_auc_gc_clean_median,del_auc_gc_adv_mean_adv,del_auc_gc_adv_median_adv,del_delta_gc_mean,del_delta_gc_median,del_auc_ig_clean_mean,del_auc_ig_clean_median,del_auc_ig_adv_mean_adv,del_auc_ig_adv_median_adv,del_delta_ig_mean,del_delta_ig_median,del_auc_rise_clean_mean,del_auc_rise_clean_median,del_auc_rise_adv_mean_adv,del_auc_rise_adv_median_adv,del_delta_rise_mean,del_delta_rise_median,target_hits,target_total,asr_target
untargeted,numeric_success,9213,3477,0.3774014978834256,100.0,14.0,40400.0,6000.0,10000,3477,0.32602704411466304,0.3076923076923077,0.48491441517618283,0.4782608695652174,0.3223438366896905,0.3076923076923077,0.6948710204440128,0.7600345611572266,0.8420238198649791,0.8486208915710449,0.47714964708025137,0.5029944181442261,0.3048753183322027,0.2761237323284149,0.131848990528777,0.0755785182118415,-0.17302632780342572,-0.20054521411657342,0.2500068850438111,0.19958887994289395,0.18975423568815367,0.1272604912519455,-0.06025264935565741,-0.07232838869094846,0.2574952447979711,0.19973769783973688,0.092768735070449,0.0317224524915218,-0.1647265097275221,-0.16801524534821508,,,
fastprior,hit_mask,9213,1310,0.14219038315423857,40.0,40.0,70848.0,70848.0,10000,1310,0.5165096614454543,0.5338345864661654,0.5319756578541041,0.5111111111111111,0.3671404212333081,0.36,0.8388623904465264,0.9210192561149597,0.8657394086131612,0.87312251329422,0.5250331532366517,0.5480014979839325,0.3048753183322027,0.2761237323284149,0.15684756876888348,0.100542202591896,-0.14802774956331924,-0.17558152973651892,0.2500068850438111,0.19958887994289395,0.18104882388560542,0.12756433337926865,-0.06895806115820566,-0.07202454656362531,0.25728843840798366,0.19489207118749613,0.10891936015376608,0.05431192554533475,-0.14836907825421758,-0.14058014564216137,1482.0,82917.0,0.017873294981728717
rise-guided,numeric_success,9213,3477,0.3774014978834256,100.0,15.0,40400.0,6400.0,10000,3477,0.3254618718037405,0.2993630573248407,0.48446178138142487,0.4782608695652174,0.2962159483071199,0.2830188679245283,0.6927168943003454,0.7669196128845215,0.8419581078783617,0.8492399454116821,0.44541742873485507,0.4672187566757202,0.3048753183322027,0.2761237323284149,0.13208114619367978,0.0745695382356643,-0.17279417213852294,-0.2015541940927506,0.24994534348761663,0.19949790835380554,0.19039652280702393,0.1291255950927734,-0.059548820680592696,-0.07037231326103213,0.2564921340593137,0.1952365636825561,0.09771029116328825,0.0341705679893493,-0.15878184289602545,-0.1610659956932068,,,
